file,func,start_line,end_line
smriti_retail_os/platform_api.py,execute_restore,398,524
smriti_retail_os/setup_wizard_api.py,run_setup_wizard,131,761
smriti_retail_os/sizewise_invoice_api.py,save_sizewise_invoice,334,535
smriti_retail_os/item_master_api.py,import_item_master,345,614
smriti_retail_os/item_master_api.py,create_style_with_variants,1106,1314
smriti_retail_os/item_master_api.py,delete_style_and_variants,1331,1366
smriti_retail_os/item_master_api.py,import_pivot_item_master,1452,1654
smriti_retail_os/loyalty_api.py,save_loyalty_scheme,105,173
smriti_retail_os/inventory_api.py,create_grn,164,218
smriti_retail_os/inventory_api.py,create_stock_transfer,222,273
smriti_retail_os/inventory_api.py,create_stock_adjustment,277,356
smriti_retail_os/inventory_api.py,create_stock_audit,360,411
smriti_retail_os/billing_api.py,hold_bill,130,187
smriti_retail_os/billing_api.py,submit_bill,236,579
smriti_retail_os/billing_api.py,validate_manager_override,789,864
smriti_retail_os/billing_api.py,create_return_invoice,923,952
smriti_retail_os/billing_api.py,create_custom_sales_return,956,1075
smriti_retail_os/billing_api.py,update_sales_return,1079,1155
smriti_retail_os/billing_api.py,delete_sales_return,1159,1204
smriti_retail_os/sales_order_api.py,create_sales_order,82,135
smriti_retail_os/psv_migration_service.py,create_reversal_entry,24,56
smriti_retail_os/psv_migration_service.py,migrate_to_new_psv_partner,60,210
smriti_retail_os/reports_api.py,save_smriti_saved_view,2200,2221
smriti_retail_os/reports_api.py,delete_smriti_saved_view,2236,2244
smriti_retail_os/reports_api.py,export_smriti_report,2467,2544
smriti_retail_os/master_api.py,quick_create_item,18,116
smriti_retail_os/master_api.py,quick_create_customer,144,193
smriti_retail_os/master_api.py,quick_create_supplier,196,232
smriti_retail_os/master_api.py,save_supplier_on_fly,236,269
smriti_retail_os/master_api.py,save_supplier_detail,363,479
smriti_retail_os/master_api.py,save_customer_detail,483,526
smriti_retail_os/master_api.py,create_item_tax_template,634,666
smriti_retail_os/master_api.py,create_brand,684,706
smriti_retail_os/master_api.py,delete_brand,710,720
smriti_retail_os/shift_api.py,open_shift,22,77
smriti_retail_os/shift_api.py,close_shift,184,296
smriti_retail_os/psv_snapshot_service.py,generate_snapshots,168,295
smriti_retail_os/company_api.py,save_company_settings,141,197
smriti_retail_os/company_api.py,save_store_address,263,358
smriti_retail_os/company_api.py,create_company,389,429
smriti_retail_os/company_api.py,update_company,433,461
smriti_retail_os/company_api.py,delete_company,465,507
smriti_retail_os/company_api.py,save_item_attributes,628,715
smriti_retail_os/company_api.py,reset_item_attributes,719,770
smriti_retail_os/security_api.py,save_user,144,198
smriti_retail_os/security_api.py,create_role,396,410
smriti_retail_os/security_api.py,delete_role,413,422
smriti_retail_os/security_api.py,save_role_profile,449,471
smriti_retail_os/security_api.py,delete_role_profile,474,483
smriti_retail_os/security_api.py,save_workflow,596,641
smriti_retail_os/security_api.py,delete_workflow,644,653
smriti_retail_os/security_api.py,save_workflow_state,662,680
smriti_retail_os/analytics_studio/sas_api.py,sas_save_view,321,352
smriti_retail_os/analytics_studio/sas_api.py,sas_delete_view,381,395
smriti_retail_os/clienteling/api/clienteling_api.py,log_customer_interaction,66,86
smriti_retail_os/clienteling/api/clienteling_api.py,log_explain_audit,141,163
smriti_retail_os/api/supplier_returns_api.py,submit_supplier_return,91,165
smriti_retail_os/api/payment_api.py,create_payment,124,197
smriti_retail_os/api/brand_api.py,create_brand,43,63
smriti_retail_os/api/brand_api.py,update_brand,66,79
smriti_retail_os/api/brand_api.py,delete_brand,82,97
smriti_retail_os/api/knowledge_studio_api.py,log_telemetry_event,170,190
smriti_retail_os/api/category_api.py,create_category,55,82
smriti_retail_os/api/category_api.py,update_category,85,105
smriti_retail_os/api/category_api.py,delete_category,108,130
smriti_retail_os/api/trial_activation_api.py,create_activation,210,259
smriti_retail_os/api/trial_activation_api.py,activate_account,267,396
smriti_retail_os/api/trial_activation_api.py,retry_provision,421,446
smriti_retail_os/api/trial_activation_api.py,suspend_activation,454,475
smriti_retail_os/api/trial_activation_api.py,extend_trial,479,509
smriti_retail_os/api/trial_activation_api.py,mark_converted_to_paid,513,550
smriti_retail_os/api/scheme_api.py,create_scheme,69,132
smriti_retail_os/api/scheme_api.py,update_scheme,135,182
smriti_retail_os/api/scheme_api.py,delete_scheme,185,196
smriti_retail_os/api/udne_api.py,save_rule,21,62
smriti_retail_os/api/help_api.py,start_psv_exam,1480,1531
smriti_retail_os/api/help_api.py,submit_psv_exam,1534,1635
smriti_retail_os/api/help_api.py,get_psv_exam_status,1638,1695
smriti_retail_os/api/trial_api.py,submit_trial_lead,13,70
smriti_retail_os/api/trial_api.py,update_lead_status,92,130
smriti_retail_os/api/license_api.py,activate_license,77,201
smriti_retail_os/api/license_api.py,sync_from_company,207,239
smriti_retail_os/negative_stock/api/negative_stock_api.py,validate_negative_stock,20,72
smriti_retail_os/barcode/telemetry_service.py,log_barcode_scan_event,74,133
smriti_retail_os/barcode/telemetry_service.py,aggregate_scan_telemetry,164,241
smriti_retail_os/cge/api/cge_api.py,save_coupon_campaign,242,263
smriti_retail_os/cge/api/cge_api.py,save_loyalty_rule,266,287
smriti_retail_os/cge/api/cge_api.py,save_loyalty_tier,290,311
smriti_retail_os/user_studio/api/smriti_user_api.py,update_my_profile,54,74
smriti_retail_os/notification_studio/api/notifications.py,delete_notification,71,82
smriti_retail_os/smriti_retail_os/api/tally_api.py,save_settings,19,29
smriti_retail_os/smriti_retail_os/api/tally_api.py,sync_to_tally,155,279
